item:6692	 basic_error:4.06116254546892e-08	 block_error:4.06116254546892e-08
item:5376	 basic_error:3.9827572114641344e-08	 block_error:3.9827572114641344e-08
item:4255	 basic_error:4.119488080121586e-08	 block_error:4.119488080121586e-08
item:7784	 basic_error:4.137381978751124e-08	 block_error:4.137381978751124e-08
item:5129	 basic_error:4.14885098162527e-08	 block_error:4.14885098162527e-08
item:4832	 basic_error:4.1426593088106194e-08	 block_error:4.1426593088106194e-08
item:5275	 basic_error:4.090962542395394e-08	 block_error:4.090962542395394e-08
item:2232	 basic_error:4.1155750792412366e-08	 block_error:4.1155750792412366e-08
item:260	 basic_error:4.0615355286670665e-08	 block_error:4.0615355286670665e-08
item:6847	 basic_error:4.0002959697733095e-08	 block_error:4.0002959697733095e-08
item:2664	 basic_error:3.8925254804687316e-08	 block_error:3.8925254804687316e-08
item:7702	 basic_error:3.9846732631456e-08	 block_error:3.9846732631456e-08
item:6928	 basic_error:4.1245308334675584e-08	 block_error:4.1245308334675584e-08
item:6883	 basic_error:4.031209008969897e-08	 block_error:4.031209008969897e-08
item:1798	 basic_error:4.00294728690573e-08	 block_error:4.00294728690573e-08
item:5808	 basic_error:3.847087366905125e-08	 block_error:3.847087366905125e-08
item:1677	 basic_error:4.118674651787564e-08	 block_error:4.118674651787564e-08
