item:2730	 basic_error:-3.330746598147194e-08	 block_error:-3.330746598147194e-08
item:7102	 basic_error:-3.264574158104525e-08	 block_error:-3.264574158104525e-08
item:1010	 basic_error:-3.245786379555901e-08	 block_error:-3.245786379555901e-08
item:368	 basic_error:-3.193393784660121e-08	 block_error:-3.193393784660121e-08
item:1907	 basic_error:-3.1731191389608275e-08	 block_error:-3.1731191389608275e-08
item:7453	 basic_error:-3.135067521114598e-08	 block_error:-3.135067521114598e-08
item:4583	 basic_error:-3.124535970754072e-08	 block_error:-3.124535970754072e-08
item:7420	 basic_error:-3.0957205311037995e-08	 block_error:-3.0957205311037995e-08
item:1847	 basic_error:-3.0943959545659365e-08	 block_error:-3.0943959545659365e-08
item:5369	 basic_error:-3.07912150140097e-08	 block_error:-3.07912150140097e-08
item:3164	 basic_error:-3.075678255983448e-08	 block_error:-3.075678255983448e-08
item:7446	 basic_error:-3.0683184455335653e-08	 block_error:-3.0683184455335653e-08
item:3947	 basic_error:-3.0647006647190576e-08	 block_error:-3.0647006647190576e-08
item:2794	 basic_error:-3.02689140382114e-08	 block_error:-3.02689140382114e-08
item:3215	 basic_error:-2.988100887991313e-08	 block_error:-2.988100887991313e-08
item:5346	 basic_error:-2.984389074105545e-08	 block_error:-2.984389074105545e-08
item:7223	 basic_error:-2.969752993205784e-08	 block_error:-2.969752993205784e-08
item:630	 basic_error:-2.9583223506296497e-08	 block_error:-2.9583223506296497e-08
item:4417	 basic_error:-2.9370819127055164e-08	 block_error:-2.9370819127055164e-08
item:4955	 basic_error:-2.9064095043423305e-08	 block_error:-2.9064095043423305e-08
item:3208	 basic_error:-2.899699995157108e-08	 block_error:-2.899699995157108e-08
item:2902	 basic_error:-2.8939887069981234e-08	 block_error:-2.8939887069981234e-08
item:5671	 basic_error:-2.8875351863267076e-08	 block_error:-2.8875351863267076e-08
item:5833	 basic_error:-2.8715124991023945e-08	 block_error:-2.8715124991023945e-08
item:5553	 basic_error:-2.857392810090651e-08	 block_error:-2.857392810090651e-08
item:8096	 basic_error:-2.855262570952352e-08	 block_error:-2.855262570952352e-08
item:3204	 basic_error:-2.849026843685775e-08	 block_error:-2.849026843685775e-08
item:758	 basic_error:-2.845846511429547e-08	 block_error:-2.845846511429547e-08
item:6301	 basic_error:-2.8444837428401662e-08	 block_error:-2.8444837428401662e-08
item:5769	 basic_error:-2.8313912887770014e-08	 block_error:-2.8313912887770014e-08
item:8194	 basic_error:-2.8273365372988475e-08	 block_error:-2.8273365372988475e-08
item:4957	 basic_error:-2.8194925144283713e-08	 block_error:-2.8194925144283713e-08
item:8060	 basic_error:-2.8130996720422685e-08	 block_error:-2.8130996720422685e-08
item:7938	 basic_error:-2.8034894759831896e-08	 block_error:-2.8034894759831896e-08
item:5584	 basic_error:-2.800750728343057e-08	 block_error:-2.800750728343057e-08
item:6568	 basic_error:-2.798959204111575e-08	 block_error:-2.798959204111575e-08
item:1430	 basic_error:-2.7984735413103673e-08	 block_error:-2.7984735413103673e-08
item:7250	 basic_error:-2.793918605519842e-08	 block_error:-2.793918605519842e-08
item:3185	 basic_error:-2.79061123625423e-08	 block_error:-2.79061123625423e-08
item:2737	 basic_error:-2.774513457566921e-08	 block_error:-2.774513457566921e-08
item:3751	 basic_error:-2.7728543712003673e-08	 block_error:-2.7728543712003673e-08
item:150	 basic_error:-2.7728204700741034e-08	 block_error:-2.7728204700741034e-08
item:5099	 basic_error:-2.755266866559785e-08	 block_error:-2.755266866559785e-08
item:2944	 basic_error:-2.740455044955483e-08	 block_error:-2.740455044955483e-08
item:7872	 basic_error:-2.733096260388538e-08	 block_error:-2.733096260388538e-08
item:2639	 basic_error:-2.727600492962324e-08	 block_error:-2.727600492962324e-08
item:5074	 basic_error:-2.7274978838844055e-08	 block_error:-2.7274978838844055e-08
item:1034	 basic_error:-2.7238606728984503e-08	 block_error:-2.7238606728984503e-08
item:229	 basic_error:-2.7213970068325904e-08	 block_error:-2.7213970068325904e-08
item:6648	 basic_error:-2.720082761136812e-08	 block_error:-2.720082761136812e-08
item:4222	 basic_error:-2.7133116292502903e-08	 block_error:-2.7133116292502903e-08
item:7406	 basic_error:-2.7109994260869803e-08	 block_error:-2.7109994260869803e-08
item:2464	 basic_error:-2.7098430604695703e-08	 block_error:-2.7098430604695703e-08
item:3578	 basic_error:-2.7091374482299257e-08	 block_error:-2.7091374482299257e-08
item:930	 basic_error:-2.7060410938829597e-08	 block_error:-2.7060410938829597e-08
item:6777	 basic_error:-2.705615344278118e-08	 block_error:-2.705615344278118e-08
item:2484	 basic_error:-2.693079917241454e-08	 block_error:-2.693079917241454e-08
item:4944	 basic_error:-2.6784635913617953e-08	 block_error:-2.6784635913617953e-08
item:1197	 basic_error:-2.6734889248280526e-08	 block_error:-2.6734889248280526e-08
item:3221	 basic_error:-2.670595821699026e-08	 block_error:-2.670595821699026e-08
item:2041	 basic_error:-2.6687642372597888e-08	 block_error:-2.6687642372597888e-08
item:7579	 basic_error:-2.6660772314444567e-08	 block_error:-2.6660772314444567e-08
item:6787	 basic_error:-2.6649106709113884e-08	 block_error:-2.6649106709113884e-08
item:6530	 basic_error:-2.661938756183188e-08	 block_error:-2.661938756183188e-08
item:8112	 basic_error:-2.660808647080102e-08	 block_error:-2.660808647080102e-08
item:6005	 basic_error:-2.659394431753226e-08	 block_error:-2.659394431753226e-08
item:6190	 basic_error:-2.658335519311987e-08	 block_error:-2.658335519311987e-08
item:5655	 basic_error:-2.6556860582252657e-08	 block_error:-2.6556860582252657e-08
item:251	 basic_error:-2.6516545368086494e-08	 block_error:-2.6516545368086494e-08
item:3951	 basic_error:-2.648510841792972e-08	 block_error:-2.648510841792972e-08
item:8018	 basic_error:-2.646373847901666e-08	 block_error:-2.646373847901666e-08
item:233	 basic_error:-2.6439243099767376e-08	 block_error:-2.6439243099767376e-08
item:2589	 basic_error:-2.6419265959382737e-08	 block_error:-2.6419265959382737e-08
item:5996	 basic_error:-2.64154054660775e-08	 block_error:-2.64154054660775e-08
item:482	 basic_error:-2.6403929841481953e-08	 block_error:-2.6403929841481953e-08
item:972	 basic_error:-2.6376163517519667e-08	 block_error:-2.6376163517519667e-08
item:7499	 basic_error:-2.623298335795079e-08	 block_error:-2.623298335795079e-08
item:7442	 basic_error:-2.622057372419183e-08	 block_error:-2.622057372419183e-08
item:1173	 basic_error:-2.62030494419278e-08	 block_error:-2.62030494419278e-08
item:2369	 basic_error:-2.61804808683987e-08	 block_error:-2.61804808683987e-08
item:6315	 basic_error:-2.6116503978857418e-08	 block_error:-2.6116503978857418e-08
item:5129	 basic_error:-2.6108974264050025e-08	 block_error:-2.6108974264050025e-08
item:7784	 basic_error:-2.6100926345815414e-08	 block_error:-2.6100926345815414e-08
item:5998	 basic_error:-2.6092322933670385e-08	 block_error:-2.6092322933670385e-08
item:4692	 basic_error:-2.6084576093825425e-08	 block_error:-2.6084576093825425e-08
item:4255	 basic_error:-2.6083308189424163e-08	 block_error:-2.6083308189424163e-08
item:6692	 basic_error:-2.606642397122525e-08	 block_error:-2.606642397122525e-08
