[2730]	[0.00034380919141352396]
[7102]	[0.0003360157157744824]
[1010]	[0.00033414261384729]
[368]	[0.0003291491857241747]
[1907]	[0.0003268375050546229]
[7453]	[0.0003261556772489306]
[4583]	[0.00032325593605330604]
[1847]	[0.00032158446458953804]
[5369]	[0.0003198067163097345]
[7420]	[0.00031925743291781795]
[3164]	[0.0003181736350810996]
[3947]	[0.00031817284420315023]
[7446]	[0.00031646725701246835]
[2794]	[0.00031345128683525186]
[3215]	[0.0003103139088776301]
[5346]	[0.0003101395041633013]
[7223]	[0.00030833470086763547]
[630]	[0.00030777900482495965]
[4417]	[0.0003060392970889582]
[4955]	[0.0003023682303022631]
[2902]	[0.00030208764958174813]
[5671]	[0.00030135806685340324]
[5833]	[0.0003005838891316474]
[3208]	[0.0003005773164087829]
[8096]	[0.0002980149786968251]
[5553]	[0.00029761906917522344]
[758]	[0.00029761609499686287]
[5769]	[0.0002971949654469585]
[3204]	[0.00029693432801218843]
[6301]	[0.00029686805505356716]
[8194]	[0.00029632539437516675]
[8060]	[0.000295003646338964]
[4957]	[0.00029432016959804144]
[1430]	[0.00029382915098150373]
[6568]	[0.0002932150808884051]
[5584]	[0.0002929917361340062]
[3185]	[0.0002923860271512477]
[7938]	[0.000292264091557839]
[7250]	[0.0002921782029723967]
[3751]	[0.00028998084787168406]
[150]	[0.00028988823604484646]
[2737]	[0.00028934203338743593]
[5099]	[0.00028906623818239664]
[2944]	[0.000288457814333009]
[7872]	[0.00028681213306782976]
[5074]	[0.00028622769488233284]
[1034]	[0.00028588862370918655]
[2639]	[0.00028586223895675223]
[229]	[0.000285467072338656]
[3578]	[0.0002848377165226563]
[6648]	[0.000284833589085209]
[930]	[0.0002846458256585404]
[7406]	[0.0002843840953734581]
[4222]	[0.0002841049281678987]
[6777]	[0.0002840997025086016]
[2464]	[0.0002840753243823212]
[2041]	[0.0002817717573497148]
[2484]	[0.0002816153045493085]
[4944]	[0.0002809532506750876]
[1197]	[0.0002807794723248057]
[7579]	[0.0002807429287745267]
[8112]	[0.00028069542822043483]
[3221]	[0.00028064742479994866]
[6005]	[0.00028056669668281706]
[6190]	[0.0002802069766865513]
[6530]	[0.00028002348642869275]
[5655]	[0.0002797206553104795]
[251]	[0.0002794529110624392]
[6787]	[0.00027918396834428736]
[8018]	[0.000278199284635032]
[233]	[0.0002779513081836787]
[482]	[0.0002779373173158767]
[2589]	[0.00027778329881474804]
[5996]	[0.0002776687005247386]
[972]	[0.0002774950279405379]
[3951]	[0.0002766666761485853]
[7442]	[0.0002761343748686515]
[5998]	[0.0002761133646995816]
[2369]	[0.00027598431417308735]
[7499]	[0.0002754142570064958]
[4692]	[0.0002754043856214105]
[6315]	[0.00027531246142812585]
[1173]	[0.00027528179017602384]
[6692]	[0.0002751618122586204]
[5376]	[0.00027488254871928713]
[4255]	[0.00027459540538042875]
[7784]	[0.0002745829424350706]
[5129]	[0.0002745192976340375]
[4832]	[0.0002738728254697351]
[5275]	[0.00027381019612198533]
[2232]	[0.0002721889918213337]
[260]	[0.00027198712140859976]
[6847]	[0.0002719624779981225]
[2664]	[0.00027189075295831695]
[7702]	[0.0002718906519663912]
[6928]	[0.00027173052973450954]
[6883]	[0.0002713331760281078]
[1798]	[0.00027127843509709335]
[5808]	[0.0002712710369508481]
[1677]	[0.0002712151406001365]
