[2730]	[0.00045619947630087777]
[7102]	[0.00044790174088980736]
[1010]	[0.00044531286087262683]
[368]	[0.0004378736442884898]
[1907]	[0.00043531004348860183]
[7453]	[0.00042768752364111967]
[4583]	[0.0004275947160481901]
[7420]	[0.00042446734647405776]
[1847]	[0.00042239055763328577]
[3164]	[0.00042098322796140734]
[7446]	[0.0004206896918177506]
[5369]	[0.0004204935348017415]
[3947]	[0.00041865114222197636]
[2794]	[0.0004141387953721416]
[3215]	[0.000408200234029357]
[5346]	[0.0004075452787002846]
[7223]	[0.0004057781210660769]
[630]	[0.0004037544778396043]
[4417]	[0.00040052812667279225]
[4955]	[0.000396752991476658]
[3208]	[0.00039665838781312535]
[2902]	[0.0003943135791592893]
[5671]	[0.0003934796392565228]
[5833]	[0.00039064419512982776]
[5553]	[0.00038985002166808894]
[8096]	[0.00038910036817027543]
[3204]	[0.00038855715355158577]
[6301]	[0.0003876601561401645]
[758]	[0.00038738170099888016]
[5769]	[0.0003846135802679837]
[8194]	[0.00038440999516079605]
[4957]	[0.00038426730260815586]
[7938]	[0.0003823776337218596]
[8060]	[0.00038236419164332713]
[5584]	[0.0003812216176663587]
[6568]	[0.00038068462952550427]
[7250]	[0.00038041125319809697]
[1430]	[0.0003801177794353746]
[3185]	[0.0003795204038855512]
[2737]	[0.0003783868471858608]
[150]	[0.0003776308407519158]
[3751]	[0.00037754900627591466]
[5099]	[0.00037443889506314594]
[2944]	[0.0003717524278620665]
[7872]	[0.000371426048399312]
[2639]	[0.0003709835890937832]
[5074]	[0.00037066945876028834]
[6648]	[0.0003701699916981783]
[1034]	[0.0003701405737690055]
[229]	[0.0003699505230263883]
[4222]	[0.0003692694623513415]
[7406]	[0.0003685370420083943]
[2464]	[0.000368516257998241]
[3578]	[0.00036778892643818135]
[6777]	[0.0003675851583050792]
[930]	[0.000367284463241449]
[2484]	[0.00036678777398726554]
[4944]	[0.00036416251771429614]
[1197]	[0.00036324857268638355]
[3221]	[0.00036275704896250913]
[6787]	[0.00036260277173614884]
[7579]	[0.00036170258764944645]
[2041]	[0.0003614646313890613]
[6530]	[0.0003613560757903046]
[3951]	[0.00036101345740580906]
[8112]	[0.00036056951287033765]
[6190]	[0.0003604422753935998]
[6005]	[0.00036038780151199945]
[5655]	[0.00036023505725262764]
[251]	[0.0003595687583505816]
[8018]	[0.00035940883727202073]
[233]	[0.00035906013516496025]
[5996]	[0.0003587845076692255]
[2589]	[0.0003587750751947961]
[482]	[0.0003583082772288658]
[972]	[0.000358050092902515]
[7499]	[0.0003565767237621552]
[1173]	[0.00035602740594595006]
[7442]	[0.0003557603737450837]
[2369]	[0.00035502220513274437]
[5129]	[0.00035459654786683105]
[7784]	[0.0003543815465488565]
[6315]	[0.00035416396788226463]
[4255]	[0.00035399337082113095]
[4832]	[0.00035386021955939817]
[4692]	[0.00035340847865530863]
[6692]	[0.0003532099421858288]
[5998]	[0.00035300669970344823]
[5275]	[0.0003525054089358981]
[2232]	[0.0003515922882032157]
[6928]	[0.0003513387357325406]
[5376]	[0.00035117798745258616]
[1677]	[0.00035062601651595276]
[260]	[0.0003501152736679438]
[6883]	[0.0003488231037562144]
[6847]	[0.0003487397899967786]
[7702]	[0.00034835626093179334]
[1798]	[0.000348150433625386]
[4681]	[0.00034778352865791394]
[6439]	[0.0003475187224975345]
