[2730]	[0.0008713804784736462]
[7102]	[0.0008540609317033529]
[1010]	[0.0008491456188515894]
[368]	[0.0008354410929193203]
[1907]	[0.0008301344135604259]
[7453]	[0.0008202029793928813]
[4583]	[0.0008174346426407653]
[7420]	[0.0008098876062149453]
[1847]	[0.0008095600861884355]
[5369]	[0.0008055617523451173]
[3164]	[0.0008046515223036091]
[7446]	[0.000802719029687186]
[3947]	[0.0008017875389941684]
[2794]	[0.0007918890960413469]
[3215]	[0.0007817468324787592]
[5346]	[0.0007807771208031009]
[7223]	[0.0007769456226435154]
[630]	[0.0007739596059978702]
[4417]	[0.0007684057047645615]
[4955]	[0.000760376762022131]
[3208]	[0.0007586133730991033]
[2902]	[0.0007571344206377842]
[5671]	[0.0007554455733045178]
[5833]	[0.0007512599182844323]
[5553]	[0.0007475547459626547]
[8096]	[0.0007470018911843108]
[3204]	[0.0007453676402206981]
[758]	[0.0007445427072794682]
[6301]	[0.0007441815604943606]
[5769]	[0.0007407685863300233]
[8194]	[0.0007397042488683024]
[4957]	[0.0007376426964033778]
[8060]	[0.0007359804908750497]
[7938]	[0.0007334531223161962]
[5584]	[0.0007327444783501314]
[6568]	[0.0007322785237762875]
[1430]	[0.0007321563829711268]
[7250]	[0.0007309554640518871]
[3185]	[0.0007300947424421438]
[2737]	[0.0007258725052063112]
[3751]	[0.0007254444889908925]
[150]	[0.0007254345936021502]
[5099]	[0.0007208504506395998]
[2944]	[0.0007169816154505168]
[7872]	[0.0007150496216911892]
[2639]	[0.0007136085953707204]
[5074]	[0.0007135848568589775]
[1034]	[0.0007126336499283223]
[229]	[0.0007119874710559852]
[6648]	[0.0007116394882451151]
[4222]	[0.0007098677558354376]
[7406]	[0.0007092671721750587]
[2464]	[0.0007089633521088982]
[3578]	[0.0007087849739874084]
[930]	[0.0007079755573777633]
[6777]	[0.0007078608282067811]
[2484]	[0.0007045721245908204]
[4944]	[0.0007007542745487319]
[1197]	[0.0006994549143773856]
[3221]	[0.0006986986923459669]
[2041]	[0.0006982302499299264]
[7579]	[0.0006975209659277801]
[6787]	[0.0006972055693907168]
[6530]	[0.0006964361059141553]
[8112]	[0.0006961470222688241]
[6005]	[0.0006957766997081747]
[6190]	[0.0006954976034332952]
[5655]	[0.0006948029806976175]
[251]	[0.0006937494267417377]
[3951]	[0.000692908351248977]
[8018]	[0.000692362110481926]
[233]	[0.0006917214820325474]
[2589]	[0.0006911988128769296]
[5996]	[0.0006910971479418282]
[482]	[0.000690800319340213]
[972]	[0.0006900726666946008]
[7499]	[0.0006863217605654719]
[7442]	[0.0006860035299754159]
[1173]	[0.0006855400767535522]
[2369]	[0.0006849564271669362]
[6315]	[0.000683282437831931]
[5129]	[0.0006830802006332262]
[7784]	[0.0006828706341842728]
[5998]	[0.0006826582719534638]
[4692]	[0.0006824502828597363]
[4255]	[0.00068241116386042]
[6692]	[0.0006819748345453258]
[4832]	[0.0006815953667933335]
[5275]	[0.0006798409246248875]
[5376]	[0.000679245123531267]
[2232]	[0.000677266331363989]
[6928]	[0.0006765288875306385]
[260]	[0.0006752581907973709]
[1677]	[0.0006751537831273478]
[6847]	[0.0006735710860149435]
[6883]	[0.0006730883242323386]
[7702]	[0.0006730519137090937]
[1798]	[0.0006722252553960259]
[4681]	[0.00067118028774839]
[2664]	[0.0006704120876573711]
